"area_title","industry_code","industry_title","top_five","area_title","team","wins_2020","losses_2020","tie_2020"
"King County, Washington","6221",NAICS 6221 General medical and surgical hospitals,100.0,"King County, Washington",Washington,4,8,0
"King County, Washington","92314",NAICS 92314 Administration of veterans' affairs,100.0,"King County, Washington",Washington,4,8,0
"King County, Washington","561",NAICS 561 Administrative and support services,100.0,"King County, Washington",Washington,4,8,0
"King County, Washington","621",NAICS 621 Ambulatory health care services,100.0,"King County, Washington",Washington,4,8,0
"Santa Clara County, California","524128",NAICS 524128 Other direct insurance carriers,200.0,"Santa Clara County, California",Stanford,3,9,0
"Santa Clara County, California","33251",NAICS 33251 Hardware manufacturing,200.0,"Santa Clara County, California",Stanford,3,9,0
"Santa Clara County, California","71119",NAICS 71119 Other performing arts companies,200.0,"Santa Clara County, California",Stanford,3,9,0
"Santa Clara County, California","111199",NAICS 111199 All other grain farming,200.0,"Santa Clara County, California",Stanford,3,9,0
"Pima County, Arizona","4451",NAICS 4451 Grocery stores,0.0,"Pima County, Arizona",Arizona,1,11,0
"Pima County, Arizona","452",NAICS 452 General merchandise stores,0.0,"Pima County, Arizona",Arizona,1,11,0
"Pima County, Arizona","441310",NAICS 441310 Automotive parts and accessories stores,0.0,"Pima County, Arizona",Arizona,1,11,0
"Pima County, Arizona","541",NAICS 541 Professional and technical services,100.0,"Pima County, Arizona",Arizona,1,11,0
"Pima County, Arizona","54171","NAICS 54171 Research and development in the physical, engineering, and life sciences",100.0,"Pima County, Arizona",Arizona,1,11,0
